date,percentage
01/01/1945,3.8
01/05/1950,3.4
01/05/1951,2.7
01/05/1955,3.8
01/05/1959,4
01/05/1964,4.6
01/05/1966,4.1
01/05/1970,4.1
01/02/1974,3.6
01/10/1974,4.3
01/05/1979,3
01/05/1983,3.5
01/05/1987,6.3
01/05/1992,9.2
01/05/1997,18.2
01/05/2001,17.9
01/05/2005,20
01/05/2010,22
01/05/2015,29
