group,male,female
01/01/1945,3.8,96.2
01/05/1950,3.4,96.6
01/05/1951,2.7,97.3
01/05/1955,3.8,96.2
01/05/1959,4,96
01/05/1964,4.6,95.4
01/05/1966,4.1,95.9
01/05/1970,4.1,95.9
01/02/1974,3.6,96.4
01/10/1974,4.3,95.7
01/05/1979,3,97
01/05/1983,3.5,96.5
01/05/1987,6.3,93.7
01/05/1992,9.2,90.8
01/05/1997,18.2,81.8
01/05/2001,17.9,82.1
01/05/2005,20,80
01/05/2010,22,78
01/05/2015,29,71
