yvals,Jan,Feb
1,1573.5,1796.35
2,1712.45,1770.5
3,1795.25,1777.9
4,1834.35,1779.75
5,1824.35,1778
6,1817.3,1800.45
7,1790.85,1796.7
8,1783.35,1776.7
9,1785.3,1760.3
10,1780.3,1793.35
11,1779.95,1780.4
12,1783.65,1788.25
13,1747.6,1760.7
14,1778.05,1811.4
15,1754.7,1788.45
16,1786.7,1783.95
17,1787.55,1777.65
18,1776.9,1789.3
19,1777.55,1779.2
20,1783.1,1789.55
21,1756.6,1799
22,1767.85,1780.75
23,1797.6,1778.95
24,1767.55,1795.65
25,1771.55,1796.75
26,1765.6,1776.15
27,1765.3,1809.25
28,1770.1,1822.9
29,1775.15,1788.2
30,1778.05,null
31,1783,null
