date,Food and non-alcoholic beverages,Alcoholic beverages tobacco and narcotics,Clothing and footware,Housing water electricity gas and other fuels,Furniture and household equipment,Health,Transport,Communication,Recreation and culture,Education,Hotels cafes and restaurants,Miscellaneous goods and services
2005,100,100,100,100,100,100,100,100,100,100,100,100
2006,102.5210084,102.7027027,95.94706369,104.6332046,99.63855422,102.7777778,102.5435074,100.2293578,98.8741044,107.4257426,103.2345013,103.8554217
2007,107.1428571,106.200318,92.30769231,108.1081081,101.2048193,106.2169312,105.62249,97.01834862,97.95291709,122.029703,106.8733154,106.0240964
2008,116.8067227,110.3338633,86.26964433,113.2561133,103.373494,109.5238095,111.6465863,94.61009174,97.44114637,136.3861386,110.916442,108.6746988
2009,123.2492997,115.1033386,79.65260546,115.4440154,106.746988,112.5661376,112.7175368,95.52752294,98.77175026,146.7821782,113.4770889,110.9638554
2010,127.4509804,121.6216216,78.8254756,114.8005148,110.1204819,116.005291,122.356091,100.2293578,100.6141249,154.4554455,116.8463612,113.7349398
2011,134.4537815,132.1144674,80.64516129,118.018018,115.4216867,119.8412698,131.9946452,104.1284404,100.716479,162.6237624,121.967655,116.5060241
2012,138.9355742,140.063593,81.30686518,121.4929215,118.7951807,123.4126984,135.0736278,108.4862385,100.9211873,176.7326733,125.8760108,119.0361446
2013,144.1176471,148.9666137,82.05128205,124.4530245,119.6385542,126.4550265,136.4123159,111.8119266,102.0470829,206.9306931,129.1105121,120.2409639
2014,143.837535,155.6438792,82.46484698,127.027027,120.4819277,129.7619048,136.6800535,113.0733945,102.8659161,228.2178218,132.2102426,120.1204819
2015,140.0560224,158.9825119,82.71298594,128.7001287,120.4819277,132.2751323,133.8688086,114.6788991,102.3541453,247.5247525,134.7708895,120.4819277
2016,136.6946779,161.5262321,82.87841191,130.6306306,120.3614458,135.1851852,134.5381526,117.7752294,102.8659161,259.1584158,138.0053908,121.686747
