name,code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Equipment for sound and picture,ESAP,0,-13.42812006,-23.81516588,-34.51816746,-38.98104265,-43.56240126,-48.57819905,-52.13270142,-54.69984202,-57.0300158,-60.50552923,-62.20379147
Photographic cinematographic and optical equipment,PCOE,0,-23.86798829,-41.81121874,-55.84591124,-65.28497409,-70.56769543,-76.60509124,-83.5097995,-86.04415409,-87.51971165,-88.73620185,-89.6260419
Information processing equipment,IPEQ,0,-12.93217208,-29.55925046,-46.00158353,-53.25943521,-55.13328055,-61.28266033,-65.08313539,-67.82792293,-69.06835577,-73.60781209,-76.22063869
Recording media,RECM,0,-2.78440732,-3.50039777,-9.38743039,-20.12728719,-21.32060461,-22.91169451,-19.25218775,-16.8655529,-18.77486078,-20.44550517,-19.17263325
Repair of audio-visual photo and data processing equipment,RAVS,0,3.6452005,7.5334143,11.1786148,11.9076549,14.8238153,17.1324423,18.4690158,19.927096,19.8055893,21.5066829,22.3572296
Major durables for indoor/outdoor recreation and maintenance,MDRM,0,0.1256281,0.879397,2.8894472,6.5326633,11.4321608,15.9547739,19.7236181,21.1055276,23.4924623,25.6281407,27.1356784
Games toys and hobbies,TOYS,0,-4.12457912,-6.56565657,-9.34343434,-8.67003367,-9.25925926,-13.04713805,-13.8047138,-13.72053872,-14.22558923,-15.82491582,-16.66666667
Equipment for sport camping and open-air recreation,SPOR,0,-2.18905473,-1.69154229,-1.49253731,-0.09950249,-0.49751244,-0.19900498,-1.39303483,-0.69651741,0.9950249,-0.49751244,-0.59701493
Garden plants and flowers,GARD,0,-0.44593088,0.5574136,3.1215162,4.4593088,10.367893,14.2697882,15.3846154,11.9286511,12.7090301,11.4827202,10.9253066
Pets and related products,PETS,0,3.3240997,6.232687,11.7728532,17.5900277,22.299169,28.9473684,31.5789474,34.7645429,37.8116343,38.5041551,38.6426593
Recreational and sporting services,RECS,0,4.9926579,9.8384728,15.5653451,19.3832599,23.2011747,29.0748899,33.3333333,38.3259912,41.7033774,46.8428781,53.4508076
Cultural services,CULS,0,4.3971631,8.5106383,10.6382979,15.177305,20,25.8156028,29.5035461,34.0425532,38.1560284,41.8439716,47.6595745
Books,BOOK,0,2.528445,5.3097345,12.3893805,11.3780025,15.676359,17.8255373,13.0214918,16.0556258,24.6523388,26.4222503,29.0771176
Newspapers and periodicals,NEWS,0,6.3291139,10.1265823,15.5063291,20.7278481,23.7341772,28.0063291,34.1772152,43.1962025,52.5316456,58.2278481,65.3481013
Printed matter stationery and drawing materials,PRIN,0,0.1248439,-1.24843945,0.6242197,5.7428215,11.6104869,16.3545568,18.3520599,21.7228464,24.2197253,24.8439451,27.21598
Package holiday,PACK,0,-0.7751938,0.2583979,4.2635659,11.1111111,16.7958656,19.6382429,23.5142119,27.2609819,28.1653747,29.1989664,29.1989664
